"author";"year";"sample_size";"sample_size_pre";"sample_size_post";"sample_size_fu";"nationality";"female_gender";"age_m";"age_sd";"patient_group";"minimum_pain_duration";"pain_duration_months_m";"pain_duration_sd";"age_m_sd";"attrition_post";"attrition_fu"
"Heikkilä";1998;73;73;65;56;"Sweden";64.38;36.5;"(NA)";"Whiplash trauma and other myofascial pain";NA;"Mean sick leave in the 2-years before: 331 days (range 0-730)";NA;"36.5 (NA)";10.96;23.29
"Gustafsson";2002;23;23;22;17;"Sweden";100;43.8;"(10.7)";"Fibromyalgia  or widespread chronic pain";NA;"13.2 (years)";"9.8 (years)";"43.8 (10.7)";4.35;26.09
"Hazard";1988;64;59;58;37;"USA";36;37;"(4.3)";"Low back pain";"4 months";NA;NA;"37 (4.3)";1.69;37.29
"Bendix";1998;238;55;47;44;"Denmark";67.4;42;"(NA)";"chronic low back pain";"6 months";NA;NA;"42 (NA)";14.55;20
"Bendix";1998;NA;46;41;37;NA;70.27;41;"(NA)";NA;NA;NA;NA;"41 (NA)";10.87;19.57
"Monticone";2013;90;45;45;45;"Italy";60;48.96;"(7.97)";"chronic non-specific low back pain";"3 months";"22.15";"11.9";"48.96 (7.97)";0;0
"Monticone";2016;150;75;74;65;"Italy";62.67;53.2;"(11.1)";"non-specific low back pain";"3 months";"21.7";"15";"53.2 (11.1)";1.33;13.33
"Bileviciute-Ljungar";2014;88;NA;NA;19;"Sweden";84;43.2;"(2.1)";"persistent musculoskeletal pain";NA;NA;NA;"43.2 (2.1)";NA;NA
"Bilveviciute-Ljungar";2014;NA;NA;NA;NA;NA;89.47;39.5;"(1.9)";NA;NA;NA;NA;"39.5 (1.9)";NA;NA
"Brendbekken";2016;284;141;137;85;"Norway";53.9;41.3;"(NA)";"musculoskeletal pain";NA;NA;NA;"41.3 (NA)";2.84;39.72
"Haiduk";2017;115;115;NA;59;"Switzerland";83.1;40.3;"(12.3)";"chronic neck pain";"3 months";"17.2";"23.6";"40.3 (12.3)";NA;48.7
"Richardson";1994;109;109;99;109;"United Kingdom";68;45;"(10)";"chronic pain";"•	referred from pain clinics; GPs, hospital specialists";"128";"114";"45 (10)";9.17;0
"Abbasi";2012;NA;12;12;10;NA;NA;NA;"(NA)";NA;NA;NA;NA;"NA (NA)";0;16.67
"Cardosa";2012;102;70;70;70;"Malaysia";64.3;42.87;"(9.87)";"chronic pain";"3 months";"66.81";"65.37";"42.87 (9.87)";0;0
"van Eijk-Hustings";2013;203;108;67;67;"Netherlands";93.51;41.49;"(9.64)";"fibromyalgia";"3 months";"82.08";"75.84";"41.49 (9.64)";37.96;37.96
"Persson";2012;509;509;NA;509;"Sweden";79;40;"(9.6)";"musculoskeletal pain";NA;"49.2";"54.24";"40 (9.6)";NA;0
"Thieme";2003;40;40;40;40;"Germany";100;46.61;"(8.67)";"Fibromyalgia";"ACR criteria";"17.05 years";"7.12 years";"46.61 (8.67)";0;0
"Westman";2009;91;91;NA;72;"Sweden";70;41.5;"(NA)";"Musculoskeletal pain and disability";NA;"Duration of sick leave period before program in months: 2";"0.9";"41.5 (NA)";NA;20.88
"Bergstrom";2014;43;43;39;34;"Sweden";80;41;"(NA)";"Disabling chronic pain";"6";NA;NA;"41 (NA)";9.3;20.93
"Merrick";2009;255;168;165;167;"Sweden";79;39;"(NA)";"Disabling chronic pain";"6";"43 (median)";NA;"39 (NA)";1.79;0.6
"Olason";2004;158;158;120;NA;"Iceland";70.9;39.5;"(NA)";"Chronic pain";NA;"67% > 24 maanden, 49.3% more than 5 years";NA;"39.5 (NA)";24.05;NA
"Stein";2013;169;59;59;51;"Sweden";86;48;"(7.8)";"chronic non-cancer pain";"3";NA;"135.4";"48 (7.8)";0;13.56
"Tavafian";2011;197;97;93;69;"Iran";73.2;44.6;"(10.2)";"chronic low back pain";"3 months";"75.9";"71.4";"44.6 (10.2)";4.12;28.87
"Van der Maas";2015;114;57;33;26;"Netherlands";71.1;45.4;"(11.1)";"chronic musculoskeletal pain";NA;NA;NA;"45.4 (11.1)";42.11;54.39
"Van der Maas";2015;NA;49;45;23;NA;91.8;38.6;"(11.1)";NA;NA;NA;NA;"38.6 (11.1)";8.16;53.06
"Volker";2017;165;165;154;120;"Netherlands";87;44.1;"(12.9)";"Chronic musculoskeletal pain";"3";"65% more than 5 years;  87% > 24 mo";NA;"44.1 (12.9)";6.67;27.27
"Wagner";2011;142;88;88;88;"Canada";63.64;49.16;"(10.03)";"Chronic pain";NA;"32.99";"13.41";"49.16 (10.03)";0;0
"Oslund";2009;108;80;80;46;"USA";70.4;55;"(11.47)";"Patients with various chronic pain problems not specified";NA;"110.44";"136.73";"55 (11.47)";0;42.5
