"author";"year";"treatment_aim";"treatment_modalities";"healthcare_providers";"in_out_patient";"type_of_contact";"group_size";"mode_of_delivery_subinfo";"setting";"time_span";"hours";"minutes";"tailoring";"followup_sessions_provided";"followup_sessions_description"
"Reck";2017;"to restore subjective and objective physical and psychological functioning";"education, exercise, (cognitive) behavioral therapy, relaxation, pain management skills, workplace advice";"Physician (rehabilitation, occupational, general), psychologist (clinical psychologist, behavioral therapist), physiotherapist (physical therapist), occupational therapist (ergo therapist)";"outpatient";"Group (>90%)";NA;"face-to-face";"pain clinic";1;45;NA;NA;NA;NA
"Roche";2011;"the reduction in sick-leave duration achieved by a multidisciplinary program (FRP), based on the bio-psychosocial model, with what could be considered as evidence-based physical treatment in a primary-care environment";"exercise, relaxation, workplace advice, team meetings, Other";"Physician (rehabilitation, occupational, general), psychologist (clinical psychologist, behavioral therapist), occupational therapist (ergo therapist)";"outpatient";"Group (>90%)";"6-8";"face-to-face";"treatment/rehabilitation center";5;150;NA;"Low";"No";NA
"Semrau";2014;"The overall objective of PASTOR was the development of active self-management of CLBP through biopsychosocial patient education about low back pain, the introduction of physical activity with an emphasis on promoting positive experiences with exercises and the long-term maintenance of physical activity as well as to promote coping strategies when dealing with CLBP. 
";"education, exercise, relaxation, pain management skills";"Physician (rehabilitation, occupational, general), psychologist (clinical psychologist, behavioral therapist), physiotherapist (physical therapist), social worker (counsellor, advisor)";"inpatient";"Mixed";NA;"face-to-face";"treatment/rehabilitation center";3;48;NA;"Low";"No";NA
"Silvemark";2014;"from introduction: Programmes usually have a cognitive behavioural therapy approach, including measures to improve pain behaviour, cognitive restructuring, sleep strategies, stress management, psychosocial training, lifestyle adaptations to pain, pacing, and also physical exercise, ergonomics, body posture and co-ordination, relaxation techniques,
Electromyography (EMG)-biofeedback, and strategies to maintain improvements.
";"education, exercise, (cognitive) behavioral therapy, relaxation, pain management skills, body awareness therapy";"Physician (rehabilitation, occupational, general), psychologist (clinical psychologist, behavioral therapist), physiotherapist (physical therapist), occupational therapist (ergo therapist), social worker (counsellor, advisor), nurse";"outpatient";"Group (>90%)";"6-9";"face-to-face";"hospital";5;175;NA;NA;NA;NA
"Smeets";2008;"to help patients to identify and cope with the consequences of pain in everyday life than with pain itself.";"education, graded activity, (cognitive) behavioral therapy, Other";"Physician (rehabilitation, occupational, general), psychologist (clinical psychologist, behavioral therapist), physiotherapist (physical therapist), occupational therapist (ergo therapist), social worker (counsellor, advisor)";"outpatient";"Group (>90%)";"max 4";"face-to-face";"treatment/rehabilitation center";10;23;30;"Low";"No";NA
"smeets";2008;"CT aimed at restoring functional ability through increased fitness, the reinforcement of healthy behaviors and the modification of problem solving abilities.";"education, exercise, graded activity, (cognitive) behavioral therapy, Other";"Physician (rehabilitation, occupational, general), psychologist (clinical psychologist, behavioral therapist), physiotherapist (physical therapist), occupational therapist (ergo therapist), social worker (counsellor, advisor)";"outpatient";"Group (>90%)";"max 4";"face-to-face";"treatment/rehabilitation center";10;77;NA;"Low";"No";NA
"spinhoven";2004;"Operant-behavioral treatment aimed at increasing healthy behaviors and decreasing pain behaviors.
";"education, graded activity, (cognitive) behavioral therapy, pain management skills, Other";"psychologist (clinical psychologist, behavioral therapist), physiotherapist (physical therapist), occupational therapist (ergo therapist)";"inpatient and outpatient combined";"Mixed";NA;"face-to-face";"treatment/rehabilitation center";8;150;NA;NA;NA;NA
"van Wilgen";2009;NA;"education, exercise, graded activity, (cognitive) behavioral therapy, relaxation, pain management skills, Other";"Physician (rehabilitation, occupational, general), psychologist (clinical psychologist, behavioral therapist), physiotherapist (physical therapist)";"inpatient and outpatient combined";"Mixed";NA;"face-to-face";"hospital";7;NA;NA;"High";"No";NA
"Verkerk";2011;"from a biopsychosocial perspective, application of behavioural principles to adopt adequate normal behavioural movement aimed at physical recovery.";"education, exercise, relaxation, pain management skills, body awareness therapy";"Physician (rehabilitation, occupational, general), psychologist (clinical psychologist, behavioral therapist), physiotherapist (physical therapist), other";"outpatient";"Group (>90%)";"6";"face-to-face";"treatment/rehabilitation center";9;48;NA;"Low";"Yes";"•	Follow-up session (1): including, evaluation, assessments, training."
"Kääpä";2006;"The goal of the MR was to
restore the physical and occupational condition of the patients, improve their skills to cope with pain, and encourage them to take the responsibility for the management of their back pain.";"education, exercise, (cognitive) behavioral therapy, relaxation, pharmacological treatment, workplace advice";"Physician (rehabilitation, occupational, general), psychologist (clinical psychologist, behavioral therapist), physiotherapist (physical therapist), occupational therapist (ergo therapist)";"outpatient";"Mixed";"6-8";"face-to-face";"treatment/rehabilitation center";8;70;NA;"Low";NA;NA
"Koopman";2004;"Complete return to work";"exercise, graded activity, (cognitive) behavioral therapy, relaxation, Other";"Physician (rehabilitation, occupational, general), psychologist (clinical psychologist, behavioral therapist), physiotherapist (physical therapist), other";"outpatient";"Mixed";"6-10";"face-to-face";"treatment/rehabilitation center";12;216;NA;"Low";NA;NA
"Lemstra";2005;"NR (evidence for individual components: The primary components of the intervention were submaximal general exercise, education, lifestyle changes, and self-management. The rationale for patient education, behavioral management, stress management, and physical exercise was based on the conclusions of 3 recent systematic literature reviews. There was no rationale, other than possible patient satisfaction, for the dietary or massage interventions.)
";"education, exercise, relaxation, pain management skills, Other";"Physician (rehabilitation, occupational, general), psychologist (clinical psychologist, behavioral therapist), physiotherapist (physical therapist), other";"outpatient";"Mixed";NA;"face-to-face";"community center";6;32;40;"Low";NA;NA
"van Hooff";2010;"Increase the ability for self-management and self-efficacy to address the psychological impact of pain.";"education, exercise, (cognitive) behavioral therapy, relaxation, pain management skills";"psychologist (clinical psychologist, behavioral therapist), physiotherapist (physical therapist), occupational therapist (ergo therapist)";"inpatient";"Group (>90%)";NA;"face-to-face";"Hotel facility, organized by Sint Maartens kliniek Nijmegen";2;100;NA;"Low";NA;NA
"Heikkilä";1998;"to support the patients’ reorientation towards realistic and rewarding goals and to bring the patients back to work";"graded activity, Other";"psychologist (clinical psychologist, behavioral therapist), physiotherapist (physical therapist), occupational therapist (ergo therapist), social worker (counsellor, advisor)";"outpatient";"Individual (>90%)";NA;"face-to-face";"treatment/rehabilitation center";6;NA;NA;"Low";NA;NA
"Gustafsson";2002;"provide knowledge of FMS and to see pain in a more understandable context; enable participants to cope with pain and related symptoms.";"education, exercise, relaxation, body awareness therapy, Other";"Physician (rehabilitation, occupational, general), psychologist (clinical psychologist, behavioral therapist), social worker (counsellor, advisor), nurse";"outpatient";"Mixed";"7-8";"face-to-face";"hospital";12;96;NA;"Low";"Yes";"3  day follow-up meeting at 3months."
"Hazard";1988;NA;"education, exercise, (cognitive) behavioral therapy, relaxation, pain management skills, Other";"psychologist (clinical psychologist, behavioral therapist), physiotherapist (physical therapist), occupational therapist (ergo therapist)";"outpatient";"Mixed";NA;"face-to-face";"treatment/rehabilitation center";3;53;NA;"Low";NA;NA
"Bendix";1998;"to restore the patients’ physical, psychosocial, and socioeconomic situation by focusing on active functioning.";"education, exercise, (cognitive) behavioral therapy, relaxation, Other";"Physician (rehabilitation, occupational, general), psychologist (clinical psychologist, behavioral therapist), physiotherapist (physical therapist), occupational therapist (ergo therapist), social worker (counsellor, advisor), other";"outpatient";"Group (>90%)";"6-8";"face-to-face";"pain clinic";3;135;NA;NA;NA;NA
"Bendix";1998;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Monticone";2013;"CBT: the purpose was to modify fear of movement beliefs, catastrophizing thinking, and negative feelings, and ensuring gradual reactions to illness behaviors. Exercise: The patients underwent a multimodal motor program consisting of active and passive mobilizations of the spine, and exercises aimed at stretching and strengthening muscles, and improving postural control.
";"education, exercise, (cognitive) behavioral therapy, pain management skills";"Physician (rehabilitation, occupational, general), psychologist (clinical psychologist, behavioral therapist), physiotherapist (physical therapist)";"outpatient";"Individual (>90%)";NA;"face-to-face, coaching by telephone";"treatment/rehabilitation center";5;15;NA;"Low";"Yes";"for 1 year: monthly 60 minute CBT sessions + telephone reminders to continue exercise"
"Monticone";2016;"treatment aimed at managing the fear of movement would induce long-term improvements
in disability, kinesiophobia, catastrophizing, pain and QoL in subjects with CLBP.
";"education, exercise, (cognitive) behavioral therapy, relaxation, pain management skills, Other";"Physician (rehabilitation, occupational, general), psychologist (clinical psychologist, behavioral therapist), physiotherapist (physical therapist)";"outpatient";"Group (>90%)";"5";"face-to-face";"treatment/rehabilitation center";5;15;NA;NA;NA;NA
"Bileviciute-Ljungar";2014;"higher level of activity, rtw, pain reduction.";"education, exercise, pain management skills, workplace advice, Other";"Physician (rehabilitation, occupational, general), psychologist (clinical psychologist, behavioral therapist), physiotherapist (physical therapist), occupational therapist (ergo therapist), social worker (counsellor, advisor), nurse, other";"outpatient";"Mixed";"8";"face-to-face";"hospital";8;143;NA;"Low";"No";NA
"Bilveviciute-Ljungar";2014;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Brendbekken";2016;"The application of ISIVET in assessment of health complaints can facilitate patient empowerment and SDM. This may lead to improvements of patient satisfaction,
adherence to treatment and better health outcomes.";"exercise, pain management skills, team meetings";"Physician (rehabilitation, occupational, general), physiotherapist (physical therapist), social worker (counsellor, advisor)";"outpatient";"Individual (>90%)";NA;"face-to-face, coaching by telephone";"hospital";NA;8;15;"Low";"Yes";"at 12 months f/u: phone contact to use the ISIVET for the last time."
"Haiduk";2017;"The therapy programme is based on a biopsychosocial model, the concept of salutogenesis, and the integration of various psychotherapeutic concepts and methods. aims to stop the process of pain chronification, to increase resilience, to correct and improve maladaptive  coping behaviour, and to improve health-related quality of life.";"exercise, (cognitive) behavioral therapy, relaxation, pain management skills";"Physician (rehabilitation, occupational, general), psychologist (clinical psychologist, behavioral therapist), physiotherapist (physical therapist), occupational therapist (ergo therapist), other";"inpatient";"Mixed";NA;"face-to-face";"hospital";4;108;NA;"Low";"No";NA
"Richardson";1994;"achieving manageable activity levels on tasks of the patient’s own choosing, and of reducing medication intake and pain behaviours.";"education, exercise, graded activity, (cognitive) behavioral therapy, relaxation, pain management skills, Other";"psychologist (clinical psychologist, behavioral therapist), physiotherapist (physical therapist), occupational therapist (ergo therapist), nurse, other";"inpatient and outpatient combined";"Group (>90%)";"5";"face-to-face";"hospital";NA;120;NA;NA;NA;NA
"Abbasi";2012;NA;"education, (cognitive) behavioral therapy, relaxation, pain management skills, Other";"Physician (rehabilitation, occupational, general), psychologist (clinical psychologist, behavioral therapist), physiotherapist (physical therapist), other";NA;"Mixed";NA;"face-to-face";"pain clinic";7;15;50;NA;NA;NA
"Cardosa";2012;"aimed at improving daily functional activities and general psychological well-being and pain re-conceptualisation (as chronic but not harmful).";"education, exercise, (cognitive) behavioral therapy, relaxation, pain management skills, Other";"Physician (rehabilitation, occupational, general), psychologist (clinical psychologist, behavioral therapist), physiotherapist (physical therapist), nurse, other";"inpatient";"Group (>90%)";NA;"face-to-face";"hospital";2;60;NA;NA;NA;NA
"van Eijk-Hustings";2013;"to optimise daily functioning through coping with pain and disability. treatment was built around four themes: communication (discover suppressed feelings and emotions); take care of yourself (discover limitations and learn to draw a line); stress, strength, anger and conflict (discover qualities); balance (a new start).";"education, exercise, graded activity, (cognitive) behavioral therapy, body awareness therapy, Other";NA;"outpatient";"Group (>90%)";NA;"face-to-face";"treatment/rehabilitation center";12;126;NA;"Medium";"Yes";"up to 7 seven sessions, repeat key messages to presevere behavior change.  based on patients requirements."
"Persson";2012;"increasing patients' strategies for pain management, activity level, and participation in society.";"education, exercise, (cognitive) behavioral therapy, relaxation, pain management skills, body awareness therapy, workplace advice, team meetings, Other";"Physician (rehabilitation, occupational, general), psychologist (clinical psychologist, behavioral therapist), physiotherapist (physical therapist), occupational therapist (ergo therapist), social worker (counsellor, advisor), nurse";"outpatient";"Group (>90%)";"9";"face-to-face";"hospital";5;126;NA;NA;NA;NA
"Thieme";2003;NA;"education, exercise, (cognitive) behavioral therapy, pain management skills";"Physician (rehabilitation, occupational, general), psychologist (clinical psychologist, behavioral therapist), physiotherapist (physical therapist), nurse";"inpatient";"Group (>90%)";"5-7";"face-to-face";"hospital";5;75;NA;"Low";NA;NA
"Westman";2009;"to help patients discover possibilities rather then obstacles when returning to work.";"education, exercise, (cognitive) behavioral therapy, relaxation, body awareness therapy, Other";"Physician (rehabilitation, occupational, general), psychologist (clinical psychologist, behavioral therapist), physiotherapist (physical therapist), other";"outpatient";"Group (>90%)";"8-10";"face-to-face";"primary care setting";8;140;NA;"Low";NA;NA
"Bergstrom";2014;"General arm: to attain a higher level of body awareness and perceived health. Main goal: decreased sick leave and rtw.

";"education, exercise, relaxation, pain management skills, body awareness therapy, team meetings, Other";"Physician (rehabilitation, occupational, general), psychologist (clinical psychologist, behavioral therapist), physiotherapist (physical therapist), occupational therapist (ergo therapist), social worker (counsellor, advisor)";"outpatient";"Group (>90%)";"10-12";"face-to-face";"hospital";5;NA;NA;"Low";"No";NA
"Merrick";2009;NA;"education, exercise, (cognitive) behavioral therapy, relaxation, pain management skills, body awareness therapy";"Physician (rehabilitation, occupational, general), psychologist (clinical psychologist, behavioral therapist), physiotherapist (physical therapist), occupational therapist (ergo therapist), social worker (counsellor, advisor), other";"outpatient";"Mixed";NA;"face-to-face";"hospital";5;66;30;"Low";"No";NA
"Olason";2004;"One of the main emphases of the program was to gradually withdraw all pain relieving drugs. The focus was on increasing the patients’ physical functioning level and enabling them to return to work.";"education, exercise, (cognitive) behavioral therapy, relaxation, pain management skills, pharmacological treatment, body awareness therapy, team meetings, Other";"Physician (rehabilitation, occupational, general), psychologist (clinical psychologist, behavioral therapist), physiotherapist (physical therapist), occupational therapist (ergo therapist), social worker (counsellor, advisor), nurse, other";"inpatient";"Mixed";NA;"face-to-face";"treatment/rehabilitation center";7;NA;NA;"Medium";"No";NA
"Stein";2013;"The aim of treatment was not to reduce pain but to focus on patients’ quality of life, reduce their drug consumption and maintain or restore their capacity to work";"education, exercise, (cognitive) behavioral therapy, relaxation, pain management skills, body awareness therapy, team meetings";"Physician (rehabilitation, occupational, general), psychologist (clinical psychologist, behavioral therapist), physiotherapist (physical therapist), occupational therapist (ergo therapist), other";"outpatient";"Group (>90%)";"6-8";"face-to-face";"primary care unit";6;90;NA;NA;NA;NA
"Tavafian";2011;"To improve HRQoL and reduce disability of Iranian patients with CLBP up to 12 months.
";"education, exercise, (cognitive) behavioral therapy, relaxation, pain management skills, pharmacological treatment, Other";"psychologist (clinical psychologist, behavioral therapist), physiotherapist (physical therapist), other";"outpatient";"Group (>90%)";NA;"face-to-face";"university";1;9;NA;"Low";"Yes";"motivational counseling by phone (for 12 months) / monthly booster sessions Discussing beliefs, knowledge and perception regarding LBP. Promoting healthy behaviors, exercising and negating stressors. •	Motivational counseling by phone. Encouraged to cope with the stressors actively to achieve successful adaptation. (for 6 months)"
"Van der Maas";2015;"Overall: improve HRQOL, decrease disability and depression. PMT specific: By improving BA, patients learn to recognize body signals other than pain to determine physical and mental states. This will lead to better understanding of bodily information, increasing confidence in body and oneself. increases HRQOL via decreased  catastrophizing and increased self-efficacy.";"education, exercise, graded activity, (cognitive) behavioral therapy, relaxation, Other";"Physician (rehabilitation, occupational, general), psychologist (clinical psychologist, behavioral therapist), physiotherapist (physical therapist), occupational therapist (ergo therapist)";"outpatient";"Group (>90%)";"4-6";"face-to-face";"treatment/rehabilitation center";12;94;NA;"Low";"Yes";"2x 90min follow-up group sessions to evaluate goals, share experiences, explore solutions and reasons for not achieving goals. New goal setting at fu1, when necessary."
"Van der Maas";2015;NA;"education, exercise, graded activity, (cognitive) behavioral therapy, relaxation, body awareness therapy, Other";"Physician (rehabilitation, occupational, general), psychologist (clinical psychologist, behavioral therapist), physiotherapist (physical therapist), occupational therapist (ergo therapist)";"outpatient";"Group (>90%)";"4-6";"face-to-face";"treatment/rehabilitation center";12;109;NA;"Low";"Yes";"2x90min group follow-up sessions to evaluate goals, share experiences, explore solutions and reasons for not achieving goals. New goal setting at fu1, when necessary."
"Volker";2017;"To optimize patients’ functioning of activities and participation by supporting them in managing their pain.";"education, exercise, (cognitive) behavioral therapy, relaxation";"Physician (rehabilitation, occupational, general), psychologist (clinical psychologist, behavioral therapist), physiotherapist (physical therapist), occupational therapist (ergo therapist), social worker (counsellor, advisor)";"outpatient";"Mixed";NA;"face-to-face";"treatment/rehabilitation center";15;NA;NA;"Low";"No";NA
"Wagner";2011;"teaching skills that enhance self-management of pain and improved functioning.";"education, exercise, (cognitive) behavioral therapy, relaxation, pain management skills";"Physician (rehabilitation, occupational, general), psychologist (clinical psychologist, behavioral therapist), physiotherapist (physical therapist), occupational therapist (ergo therapist), nurse";"outpatient";"Mixed";NA;"face-to-face";"pain clinic";6;122;30;"High";"No";NA
"Oslund";2009;"The goals of interdisciplinary care include providing skills in decreasing muscle tension and sympathetic nervous system activation by addressing and reframing beliefs about pain and coping. The patients are guided in overcoming fear and avoidance of behavior associated with pain and in improving physical strengthening and conditioning";"education, exercise, (cognitive) behavioral therapy, relaxation, pain management skills";"Physician (rehabilitation, occupational, general), psychologist (clinical psychologist, behavioral therapist), physiotherapist (physical therapist), occupational therapist (ergo therapist), other";"outpatient";"Mixed";NA;"face-to-face";"university";4;120;NA;"Low";"No";NA
