"author_year"	"cohort_id"	"ed"	"ex"	"ga"	"bt"	"re"	"pm"	"ph"	"ba"	"wo"	"te"	"other_procedures"	"phy"	"psy"	"pt"	"ot"	"nur"	"swo"	"other_healthcare_providers"	"in_out_patient"	"type_of_contact"	"group_size"	"mode_of_delivery_subinfo"	"setting"	"time_span"	"hours"	"minutes"	"tailoring"	"followup_sessions_provided"	"followup_sessions_description"
"Cardosa (2012)"	"a"	1	1	0	1	1	1	0	0	0	0	"optional famility visits; recommending withdrawal of pain medication"	1	1	1	0	1	0	"anaesthetiologist/pain specialist"	"inpatient"	"Group (>90%)"	NA	"face-to-face"	"hospital"	2	60	NA	"Low"	NA	NA
"De Rooij (2014)"	"a"	1	1	0	1	1	1	0	0	0	0	"Assertiveness training + Making a personalized plan, based on individual needs and requirements"	1	1	1	1	0	1	NA	"outpatient"	"Mixed"	NA	"face-to-face"	"treatment/rehabilitation center"	7	49	NA	"High"	"Yes"	"- 4-6 months of tailored individual treatment (evaluated as part of main treatment program) - 2 optional evaluation sessions"
"Dysvik (2013)"	"a"	1	1	0	0	0	1	0	1	0	0	"follow-up sessions"	1	1	1	0	1	0	"nutritionist"	"outpatient"	"Group (>90%)"	"8-12"	"face-to-face, coaching by telephone"	"hospital"	8	45	NA	"Low"	"Yes"	"•	2 follow-up sessions (6m and 12m): focus on exercise and education on nutrition and pain, challenges and future plans. Homework on nutrition and health improvements/, thinking on how to continue. 12m was telephone sessions."
"Frost (2000)"	"a"	1	1	0	0	1	0	0	0	0	0	"Individual psychologist sessions for patients who had particular psychological problems affecting their rehabilitation; video assessment of posture and daily life activities at pre and post measurement, to identify progress."	1	1	1	0	0	0	NA	"outpatient"	"Group (>90%)"	"maximum of 5"	"face-to-face, coaching by telephone"	NA	3	97	30	"Low"	"Yes"	"4 full day follow-up sessions , to monitor and maintain progress in exercises, discuss changes in their lifestyle, and any problems that might have arisen"
"Gantschnigg (2017)"	"a"	1	1	0	1	1	1	0	1	1	0	"medical treatment, occupational therapy, social workers intervention,"	1	1	1	1	1	1	NA	"inpatient and outpatient combined"	"Mixed"	NA	"face-to-face"	"hospital"	12	108	NA	"Medium"	"No"	NA
"Grahn (2000)"	"a"	1	1	0	1	1	1	0	1	1	0	"Social activities (e.g. creative and cultural activities)"	1	0	1	1	1	0	"Specialist consultants in orthopaedics and psychiatry"	"inpatient"	"Mixed"	NA	"face-to-face"	"treatment/rehabilitation center"	4	120	NA	"High"	"Yes"	"at least 3 follow-up meetings (3m 6m 12m), where the patient obtained further advice from the team"
"Groot (2019)"	"a"	1	1	0	1	1	1	0	0	0	0	NA	0	1	1	1	0	0	NA	"inpatient"	"Group (>90%)"	NA	"face-to-face"	"hotel"	2	100	NA	"Low"	NA	NA
"Gustafsson (2002)"	"a"	1	1	0	0	1	0	0	1	0	0	"pain-relieving methods: TNS, heat and acupuncture, group discussion (pain, stress, coping, working situations, medication, sleep, relaxation emotions and bodily reactions)
individual guidance (supporting in finding new coping strategies)"	1	1	0	0	1	1	NA	"outpatient"	"Mixed"	"7-8"	"face-to-face"	"hospital"	12	96	NA	"Low"	"Yes"	"3  day follow-up meeting at 3months."
"Hafenbrack (2013)"	"a"	1	1	0	0	1	1	1	0	1	0	NA	1	1	1	0	0	0	NA	"outpatient"	"Group (>90%)"	NA	"face-to-face"	"pain clinic"	4	120	NA	"Low"	NA	NA
"Hafenbrack (2013)"	"b"	1	1	0	0	1	1	1	0	1	0	NA	1	1	1	0	0	0	NA	"outpatient"	"Group (>90%)"	NA	"face-to-face"	"pain clinic"	4	120	NA	"Low"	NA	NA
"Haiduk (2017)"	"a"	0	1	0	1	1	1	0	0	0	0	"Music/painting therapy; Tai Chi and Qigong; nursing service on request"	1	1	1	1	0	0	"Qigong instructors; creative therapists"	"inpatient"	"Mixed"	NA	"face-to-face"	"hospital"	4	108	NA	"Low"	"No"	NA
"Hallstam (2016)"	"a"	0	1	0	1	1	1	0	0	0	0	"Counseling; Adjusting Pharmacological treatment; TENS"	1	1	1	0	1	0	NA	"outpatient"	"Mixed"	NA	"face-to-face"	"hospital"	13	65	NA	"Low"	"No"	NA
"Hazard (1988)"	"a"	1	1	0	1	1	1	0	0	0	0	"weekly family meetings."	0	1	1	1	0	0	NA	"outpatient"	"Mixed"	NA	"face-to-face"	"treatment/rehabilitation center"	3	53	NA	"Low"	NA	NA
"Heikkilä (1998)"	"a"	0	0	1	0	0	0	0	0	0	0	"Cognitive behavioural approach; counselling by occupational therapist, psychologist, social worker, and physiotherapist."	0	1	1	1	0	1	NA	"outpatient"	"Individual (>90%)"	NA	"face-to-face"	"treatment/rehabilitation center"	6	NA	NA	"Low"	NA	NA
"Hildebrandt (1996)"	"a"	1	1	0	1	1	0	0	0	1	0	NA	1	1	1	0	1	1	NA	"outpatient"	"Group (>90%)"	"8-10"	"face-to-face"	"pain clinic"	11	179	NA	"Medium"	NA	NA
"Hildebrandt (1996)"	"a"	1	1	0	1	1	0	0	0	1	0	NA	0	0	0	0	0	0	NA	"outpatient"	"Mixed"	"8-10"	"face-to-face"	"pain clinic"	8	180	NA	"Medium"	NA	NA
"Hildebrandt (1996)"	NA	1	1	0	1	1	1	0	0	1	1	NA	1	1	1	0	1	1	NA	"outpatient"	"Group (>90%)"	NA	"face-to-face"	"pain clinic"	11	199	NA	NA	"Yes"	"not further specified"
"Huffman (2019)"	"a"	1	1	0	1	0	0	0	0	0	0	"medication management; weaning from habituating medications; optional free monthly aftercare."	0	1	1	1	1	0	"pain psychiatry; counsellors"	"outpatient"	"Mixed"	NA	"face-to-face"	"treatment/rehabilitation center"	3.5	176	15	"Low"	"Yes"	"optional free monthly aftercare"
"Huffman (2019)"	"a"	1	1	0	1	0	0	0	0	0	0	"medication management, weaning from habituating medication."	0	1	1	1	1	1	"pain psychiatrist"	"outpatient"	"Individual (>90%)"	NA	"face-to-face"	"academic medical center"	3.5	166	15	"Low"	"Yes"	"optional free monthly aftercare"
"Huffman (2019)"	"a"	1	1	0	1	0	0	0	0	0	0	"medication management; weaning from habituating medications; optional free monthly aftercare."	0	1	1	1	1	0	"pain psychiatry; counsellors"	"outpatient"	"Mixed"	NA	"face-to-face"	"treatment/rehabilitation center"	3.5	166	15	"Low"	"Yes"	"optional free monthly aftercare"
"Ibrahim (2019)"	"a"	1	1	0	1	1	1	0	0	0	0	"personalized goal-setting with pictures; patient support group"	1	1	1	1	0	0	"rheumatologist, pain specialist, psychiatrist"	"outpatient"	"Group (>90%)"	"4-6"	"face-to-face"	"hospital"	4	100	NA	"Low"	"Yes"	"3h multidisciplinary refresher course at 5/6month fu. Aim to motivate and reïnforce program by PT and OT. OT followed pt in the months after to facilitate work."
"Ibrahim (2019)"	"a"	1	1	0	0	1	1	0	0	1	0	"support-group discussion,"	1	1	1	1	0	0	"Rheumatologist, pain specialist, psychiatrist"	"outpatient"	"Group (>90%)"	"4-6"	"face-to-face"	"hospital"	4	100	NA	"Medium"	"Yes"	"5-6months post: 3-h refreshner course: motivating and reïnforcing (PT and OT). OT followed pt in the months after to facilitate work."
"Ibrahim (2019)"	"a"	1	1	0	1	1	1	0	0	0	0	"personalized goal-setting with pictures; patient support group"	1	1	1	1	0	0	"rheumatologist"	"outpatient"	"Group (>90%)"	"4-6"	"face-to-face"	"hospital"	4	100	NA	"Low"	"Yes"	"3h multidisciplinary refresher course at 5/6month fu"
"Jensen (1997)"	"a"	1	1	0	1	1	1	0	0	0	0	"self-efficacy training;"	1	1	1	0	1	0	"alcohol/drugs counselor"	"inpatient"	"Group (>90%)"	NA	"face-to-face"	"pain clinic"	5	NA	NA	"Low"	"Yes"	"•	Follow-up phone calls (by nurse) every 6 weeks, for 6 months."
"Jensen (1997)"	"b"	1	1	0	1	1	1	0	0	0	0	"self-efficacy training; psychologist-led group sessions on coping behavior, helplessness, and gender-specific behavior."	1	1	1	0	1	0	"alcohol/drugs counselor"	"inpatient"	"Group (>90%)"	NA	"face-to-face"	"pain clinic"	5	NA	NA	"Low"	"Yes"	"•	Follow-up phone calls (by nurse) every 6 weeks, for 6 months."
"Kääpä (2006)"	"a"	1	1	0	1	1	0	1	0	1	0	NA	1	1	1	1	0	0	NA	"outpatient"	"Mixed"	"6-8"	"face-to-face"	"treatment/rehabilitation center"	8	70	NA	"Low"	NA	NA
"Koopman (2004)"	"a"	0	1	1	1	1	0	0	0	0	0	"Partners were invited to join the participant in a partner program, which consisted of three meetings
individual counseling: monitoring progress and answering questions with regard to the program."	1	1	1	0	0	0	"Physical education instructor"	"outpatient"	"Mixed"	"6-10"	"face-to-face"	"treatment/rehabilitation center"	12	216	NA	"Low"	NA	NA
"Lemstra (2005)"	"a"	1	1	0	0	1	1	0	0	0	0	"1 group dietary lecture (general dietary goals and strategies)"	1	1	1	0	0	0	"Dietician (lecture): education
Massage therapist: providing two individual massages
Exercise therapist (supervising exercise sessions, monitoring attendance, creating a social, non-intimidating environment."	"outpatient"	"Mixed"	NA	"face-to-face"	"community center"	6	32	40	"Low"	NA	NA
"Letzel (2019)"	"a"	1	1	0	1	1	1	0	0	0	0	"individual consultations with specialist in physical and rehabilitation medicine; basline + end of treatment assessment (including comparison of health status and recommendations)."	1	1	1	1	0	0	"swimming trainer; medical massage therapist"	"outpatient"	"Group (>90%)"	"5-10"	"face-to-face"	"hospital"	3	44	NA	"Low"	"No"	NA
"Letzel (2019)"	"a"	1	1	0	1	1	1	0	0	0	0	"individual consultations with specialist in physical and rehabilitation medicine; basline + end of treatment assessment (including comparison of health status and recommendations); team meetings"	1	1	1	1	0	0	"swimming trainer; medical massage therapist"	"outpatient"	"Group (>90%)"	"5-10"	"face-to-face"	"hospital"	3	44	NA	"Low"	"No"	NA
"Letzel (2019)"	"a"	1	1	0	1	1	1	0	0	0	0	"individual consultations with specialist in physical and rehabilitation medicine; basline + end of treatment assessment (including comparison of health status and recommendations); team meetings"	1	1	1	1	0	0	"swimming trainer; medical massage therapist"	"outpatient"	"Group (>90%)"	"5-10"	"face-to-face"	"hospital"	3	44	NA	"Low"	"No"	NA
"Letzel (2019)"	"a"	1	1	0	1	1	1	0	0	0	1	NA	1	1	1	1	0	0	"Medical masseur, swimming trainer"	"outpatient"	"Mixed"	"5-10"	"face-to-face"	"treatment/rehabilitation center"	3	44	NA	"Low"	"No"	NA
"Mangels (2009)"	"a"	1	1	0	0	1	1	1	0	0	0	NA	0	1	1	1	0	0	NA	"inpatient"	"Mixed"	"10-12"	"face-to-face"	"hospital"	NA	167	20	"Low"	"no"	NA
"Mangels (2009)"	"b"	1	1	0	0	1	1	1	0	0	0	NA	0	1	1	1	0	0	NA	"inpatient"	"Mixed"	"10-12"	"face-to-face, coaching by telephone"	"hospital"	NA	167	20	"Low"	"Yes"	"Booster: by telephone"
"Martin (2012)"	"a"	1	1	0	1	1	1	1	0	0	0	NA	1	1	1	0	0	0	NA	"outpatient"	"Group (>90%)"	"12"	"face-to-face"	"hospital"	6	21	NA	NA	"No"	NA
"McAllister (2005)"	"a"	0	1	0	0	1	1	0	0	0	0	"Participation of significant others; Medication management"	1	0	1	0	1	0	NA	"inpatient and outpatient combined"	"Group (>90%)"	NA	"face-to-face"	NA	4	80	NA	NA	"yes"	"After completion of the four week program, patients
 were encouraged to attend an aftercare program that included 3 month’s use of the pool for exercising, and an indefinite"
"Merrick (2009)"	"a"	1	1	0	1	1	1	0	1	0	0	"General information by social insurance/safety regulations
Individual sessions
Physiotherapy
Occupational therapy"	1	1	1	1	0	1	"Patient is team member"	"outpatient"	"Mixed"	NA	"face-to-face"	"hospital"	5	66	30	"Low"	"No"	NA
"Monticone (2013)"	"a"	1	1	0	1	0	1	0	0	0	0	"- Active and passive mobilisations of the spine (manual therapy) aimed at increasing ROM.
- At each session: treatment fidelity check, based on treatment manual for administration of CBT and exercise. 
- Family doctors and spouses were asked to support patient compliance."	1	1	1	0	0	0	NA	"outpatient"	"Individual (>90%)"	NA	"face-to-face, coaching by telephone"	"treatment/rehabilitation center"	5	15	NA	"Low"	"Yes"	"for 1 year: monthly 60 minute CBT sessions + telephone reminders to continue exercise"
"Monticone (2016)"	"a"	1	1	0	1	1	1	0	0	0	0	"the patients were also asked to fill out a diary after each training session and the physiotherapists checked the diary every week."	1	1	1	0	0	0	NA	"outpatient"	"Group (>90%)"	"5"	"face-to-face"	"treatment/rehabilitation center"	5	15	NA	NA	"yes"	"1 year reinforcement phase,the psychologist met the patients for
 further 1-hour sessions once a month for a year to verify
 their growing ability to manage chronic pain and reinforce
 the self-management of dysfunctional thoughts and wrong behaviors related to the fear of movement (reinforcement
 phase).The patients were asked to continue the exercises taught actively in twice-weekly 60-
 minute sessions for 1 year (reinforcement phase), during
 which they received telephone reminders from personal"
"Nagel (2009)"	NA	1	1	0	1	1	0	1	0	1	1	NA	1	1	1	0	1	0	NA	"outpatient"	"Group (>90%)"	"8-9"	"face-to-face"	"pain clinic"	4	85	NA	NA	"Yes"	"clinical assessment at 6 and 12 months after discharge via questionnaire and one consultation (assumably, not clearly reported)"
"Nagel (2009)"	"a"	1	1	0	1	1	0	0	0	0	0	NA	1	1	1	0	0	0	NA	"outpatient"	"Group (>90%)"	"8-9"	"face-to-face"	"pain clinic"	3.5	89	NA	"Low"	"No"	NA
"Nagel (2009)"	"a"	1	1	0	1	1	0	0	0	0	0	NA	1	1	1	0	0	0	NA	"outpatient"	"Group (>90%)"	"8-9"	"face-to-face"	"pain clinic"	3.5	89	NA	"Low"	"No"	NA
"Nicholas (2020)"	"a"	1	1	0	1	0	1	0	0	0	0	"self-monitoring of sensations; identifying and responding to unhelpful cognitions, thought challenging"	1	1	1	0	1	0	"rehabilitation advisor"	"outpatient"	"Group (>90%)"	"8-10"	"face-to-face, coaching by telephone"	"pain clinic"	3	115	NA	"Low"	"No"	NA
"Nicholas (2020)"	"a"	1	0	1	1	0	1	0	0	0	0	NA	1	1	1	0	1	0	"Rehabilitation specialist"	"outpatient"	"Group (>90%)"	"8-10"	"face-to-face"	"hospital"	3	115	NA	"Low"	"No"	NA
"Nicholas (2020)"	"a"	1	1	0	1	0	1	0	0	0	0	"self-monitoring of sensations;"	1	1	1	0	1	0	"rehabilitation advisor"	"outpatient"	"Group (>90%)"	"8-10"	"face-to-face"	"hospital"	3	115	NA	"Low"	"No"	NA
"Nicholas (2020)"	"b"	1	1	0	1	1	1	0	0	0	0	NA	1	1	1	0	1	0	"rehabilitation advisor"	"outpatient"	"Group (>90%)"	"8-10"	"face-to-face, coaching by telephone"	"pain clinic"	3	115	NA	"Low"	"No"	NA
"Nicholas (2020)"	"b"	1	1	0	1	1	1	0	0	0	0	NA	1	1	1	0	1	0	"rehabilitation advisor"	"outpatient"	"Group (>90%)"	"8-10"	"face-to-face"	"hospital"	3	115	NA	"Low"	"No"	NA
"Nicholas (2020)"	"b"	1	0	1	1	1	1	0	0	0	0	NA	1	1	1	0	1	0	"rehabilitation advisor"	"outpatient"	"Group (>90%)"	"8-10"	"face-to-face"	"hospital"	3	115	NA	"Low"	"No"	NA
"Olason (2004)"	"a"	1	1	0	1	1	1	1	1	0	1	"Decrease drugs dose (weaning?)
Optional: manipulation or other forms of special PT
Optional: Psychiatric consultation"	1	1	1	1	1	1	"Sport therapist"	"inpatient"	"Mixed"	NA	"face-to-face"	"treatment/rehabilitation center"	7	NA	NA	"Medium"	"No"	NA
"Oslund (2009)"	"a"	1	1	0	1	1	1	0	0	0	0	NA	1	1	1	1	0	0	"Counselors
Case managers"	"outpatient"	"Mixed"	NA	"face-to-face"	"university"	4	120	NA	"Low"	"No"	NA
"Persson (2012)"	"a"	1	1	0	1	1	1	0	1	1	1	"group discussions on communication, stress management skills; significant others could visit; instructions to write down relevant strategies; written discharge plan"	1	1	1	1	1	1	NA	"outpatient"	"Group (>90%)"	"9"	"face-to-face"	"hospital"	5	126	NA	"Low"	"yes"	"2 days of follow-up at 2 months after discharge. The discharge plan included recommendations for further strategies to improve the participants’ activity level and participation in society. Progress and unsuccessful events were re-evaluated during the 2-day follow-up meeting, 8 weeks after discharge"
"Pfingsten (1996)"	NA	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Pietila - Holmner (2020)"	"a"	1	1	0	1	1	1	0	0	0	0	NA	1	1	1	1	0	1	NA	"outpatient"	"Mixed"	NA	"face-to-face"	"primary care centres"	8	20	NA	"Low"	"No"	NA
"Pietilä-Holmner (2020)"	"a"	1	1	0	1	1	1	0	0	0	0	NA	1	1	1	1	0	1	NA	"outpatient"	"Mixed"	NA	"face-to-face"	"primary care setting"	8	20	NA	"Low"	"No"	NA
"Pietilä-Holmner (2020)"	"a"	1	1	0	1	1	1	0	0	0	0	NA	1	1	1	1	0	1	NA	"outpatient"	"Mixed"	NA	"face-to-face"	"primary care center"	8	20	NA	"Low"	"No"	NA
"Reck (2017)"	"a"	1	1	0	1	1	1	0	0	1	0	NA	1	1	1	1	0	0	NA	"outpatient"	"Group (>90%)"	NA	"face-to-face"	"pain clinic"	1	45	NA	NA	"yes"	"bi-monthly support group."
"Richardson (1994)"	"a"	1	1	1	1	1	1	0	0	0	0	"withdrawal from pain drugs"	0	1	1	1	1	0	"anaesthetist"	"inpatient and outpatient combined"	"Group (>90%)"	"5"	"face-to-face"	"hospital"	NA	120	NA	NA	NA	NA
"Roche (2011)"	"a"	0	1	0	0	1	0	0	0	1	1	"Informal meetings with group; weekly individual session with physiatrist"	1	1	0	1	0	0	NA	"outpatient"	"Group (>90%)"	"6-8"	"face-to-face"	"treatment/rehabilitation center"	5	150	NA	"Low"	"No"	NA
"Saur (1996)"	NA	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Semrau (2014)"	"a"	1	1	0	0	1	1	0	0	0	0	"Physical interventions (e.g. massages) were limited to two sessions
per week per person.
"	1	1	1	0	0	1	NA	"inpatient"	"Mixed"	NA	"face-to-face"	"treatment/rehabilitation center"	3	48	NA	"Low"	"No"	NA
"Silvemark (2014)"	"a"	1	1	0	1	1	1	0	1	0	0	NA	1	1	1	1	1	1	NA	"outpatient"	"Group (>90%)"	"6-9"	"face-to-face"	"hospital"	5	175	NA	NA	NA	NA
"Smeets (2008)"	"a"	1	0	1	1	0	0	0	0	0	0	"optional counselling sessions; partner participation"	1	1	1	1	0	1	NA	"outpatient"	"Group (>90%)"	"max 4"	"face-to-face"	"treatment/rehabilitation center"	10	23	30	"Low"	"No"	NA
"Smeets (2008)"	"b"	1	1	1	1	0	0	0	0	0	0	"optional individual counselling; partner participation"	1	1	1	1	0	1	NA	"outpatient"	"Group (>90%)"	"max 4"	"face-to-face"	"treatment/rehabilitation center"	10	77	NA	"Low"	"No"	NA
"Spinhoven (2004)"	"a"	1	0	1	1	0	1	0	0	0	0	"homework + check for patient compliance; spouse training; group discussion; listening to music fragments"	0	1	1	1	0	0	NA	"inpatient and outpatient combined"	"Mixed"	NA	"face-to-face"	"treatment/rehabilitation center"	8	150	NA	NA	NA	NA
"Stein (2013)"	"a"	1	1	0	1	1	1	0	1	0	1	"mindfulness; education on postures to avoid the pain"	1	1	1	1	0	0	"medical secretary"	"outpatient"	"Group (>90%)"	"6-8"	"face-to-face"	"primary care setting"	6	90	NA	NA	NA	NA
"Steinmetz (2019)"	"a"	0	1	0	0	1	0	1	0	0	0	"manual therapy and neurophysiological based pt; reflex therapy; manual medicine, psychotherapy"	1	1	1	0	0	0	NA	"inpatient"	NA	NA	"face-to-face"	"hospital"	2	15	NA	"High"	"No"	NA
"Strobel (1998)"	"a"	1	1	1	0	1	1	0	1	0	0	"passive physiotherapy interventions as indicated for FM"	1	1	1	0	1	0	"sport therapist"	"inpatient"	"Group (>90%)"	"6"	"face-to-face"	"treatment/rehabilitation center"	5	150	NA	NA	"No"	NA
"Strobel (1998)"	NA	1	1	1	0	1	1	0	1	0	0	"passive physiotherapy interventions as indicated for FM"	1	1	1	0	1	0	NA	"inpatient"	"Group (>90%)"	"6"	"face-to-face"	"treatment/rehabilitation center"	NA	NA	NA	NA	"No"	NA
"Strobel (1998)"	NA	1	1	0	0	1	0	0	0	0	0	"Passive physiotherapy: Connective tissue massages, MLD, cold and mild heat therapy with baths."	1	0	1	0	0	0	"sport therapist, psychotherapist"	"inpatient"	"Group (>90%)"	"6"	"face-to-face"	"treatment/rehabilitation center"	5	NA	NA	"Low"	"No"	NA
"Tavafian (2011)"	"a"	1	1	0	1	1	1	1	0	0	0	"preventive back injury techniques such as correct posture; booster sessions (discussing beliefs, promoting healthy behaviors);"	0	1	1	0	0	0	"health education specialist; rheumatologist"	"outpatient"	"Group (>90%)"	NA	"face-to-face"	"university"	1	9	NA	"Low"	"Yes"	"motivational counseling by phone (for 12 months) / monthly booster sessions Discussing beliefs, knowledge and perception regarding LBP. Promoting healthy behaviors, exercising and negating stressors. •	Motivational counseling by phone. Encouraged to cope with the stressors actively to achieve successful adaptation. (for 6 months)"
"Thieme (2003)"	"a"	1	1	0	1	0	1	0	0	0	0	NA	1	1	1	0	1	0	NA	"inpatient"	"Group (>90%)"	"5-7"	"face-to-face"	"hospital"	5	75	NA	"Low"	"no"	NA
"Van der Maas (2015)"	"a"	1	1	1	1	1	0	0	0	0	0	"occupational therapy / partner education / coaching"	1	1	1	1	0	0	NA	"outpatient"	"Group (>90%)"	"4-6"	"face-to-face"	"treatment/rehabilitation center"	12	94	NA	"Low"	"Yes"	"2x 90min follow-up group sessions to evaluate goals, share experiences, explore solutions and reasons for not achieving goals. New goal setting at fu1, when necessary."
"Van der Maas (2015)"	"b"	1	1	1	1	1	0	0	1	0	0	"Occupational therapy / Partner education / coaching"	1	1	1	1	0	0	NA	"outpatient"	"Group (>90%)"	"4-6"	"face-to-face"	"treatment/rehabilitation center"	12	109	NA	"Low"	"Yes"	"2x90min group follow-up sessions to evaluate goals, share experiences, explore solutions and reasons for not achieving goals. New goal setting at fu1, when necessary."
