"author_year_id"	"treatment_aim"	"treatment_modalities"	"phy"	"psy"	"pt"	"ot"	"nur"	"swo"	"in_out_patient"	"type_of_contact"	"group_size"	"setting"	"time_span"	"treatment_time"	"tailoring"	"followup_sessions_provided"
"Gustafsson (2002): a"	"provide knowledge of FMS and to see pain in a more understandable context; enable participants to cope with pain and related symptoms."	"ed, ex, re, ba, oth"	1	1	0	0	1	1	"out"	"Mixed"	"7-8"	"hospital"	12	96	"lo"	"yes"
"Hafenbrack (2013): a"	"Restoration of objective and subjective functional capacity, return to work"	"ed, ex, re, pm, ph, wo"	1	1	1	0	0	0	"out"	"Group (>90%)"	NA	"pain clinic"	4	120	"lo"	"no"
"Hafenbrack (2013): b"	NA	NA	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	"lo"	"no"
"Haiduk (2017): a"	"The therapy programme is based on a biopsychosocial model, the concept of salutogenesis, and the integration of various psychotherapeutic concepts and methods. aims to stop the process of pain chronification, to increase resilience, to correct and improve maladaptive  coping behaviour, and to improve health-related quality of life."	"ex, (cognitive) behavioral therapy, re, pm"	1	1	1	1	0	0	"in"	"Mixed"	NA	"hospital"	4	108	"lo"	"no"
"Hallstam (2016): a"	NA	"ex, (cognitive) behavioral therapy, re, pm, oth"	1	1	1	0	1	0	"out"	"Mixed"	NA	"hospital"	13	65	"lo"	"no"
"Hazard (1988): a"	NA	"ed, ex, (cognitive) behavioral therapy, re, pm, oth"	0	1	1	1	0	0	"out"	"Mixed"	NA	"treatment/rehabilitation center"	3	53	"lo"	"no"
"Heikkilä (1998): a"	"to support the patients’ reorientation towards realistic and rewarding goals and to bring the patients back to work"	"ga, oth"	0	1	1	1	0	1	"out"	"Individual (>90%)"	NA	"treatment/rehabilitation center"	6	NA	"lo"	"no"
"Jensen (1997): a"	"Improving pain coping skills in different areas of women’s everyday lives, address sex roles and their influence on our behavior, emphasizing a possible association between pain coping and the traditional female sex role with passivity and helplessness."	"ed, ex, (cognitive) behavioral therapy, re, pm, oth"	1	1	1	0	1	0	"in"	"Group (>90%)"	NA	"pain clinic"	5	NA	"lo"	"no"
"Jensen (1997): b"	NA	NA	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	"lo"	"yes"
"Kääpä (2006): a"	"The goal of the MR was to
restore the physical and occupational condition of the patients, improve their skills to cope with pain, and encourage them to take the responsibility for the management of their back pain."	"ed, ex, (cognitive) behavioral therapy, re, ph, wo"	1	1	1	1	0	0	"out"	"Mixed"	"6-8"	"treatment/rehabilitation center"	8	70	"lo"	"no"
"Koopman (2004): a"	"Complete return to work"	"ex, ga, (cognitive) behavioral therapy, re, oth"	1	1	1	0	0	0	"out"	"Mixed"	"6-10"	"treatment/rehabilitation center"	12	216	"lo"	"no"
"Lemstra (2005): a"	"NR (evidence for individual components: The primary components of the intervention were submaximal general exercise, education, lifestyle changes, and self-management. The rationale for patient education, behavioral management, stress management, and physical exercise was based on the conclusions of 3 recent systematic literature reviews. There was no rationale, other than possible patient satisfaction, for the dietary or massage interventions.)
"	"ed, ex, re, pm, oth"	1	1	1	0	0	0	"out"	"Mixed"	NA	"community center"	6	32	"lo"	"no"
"Mangels (2009): a"	"The specific goal of the pain management group (BMR) was to enhance the pain management skills of the patients."	"ed, ex, re, pm, ph, oth"	0	1	1	1	0	0	"in"	"Mixed"	"10-12"	"hospital"	NA	167	"lo"	"no"
"Mangels (2009): b"	"The specific goal of the pain management group (BMR) was to enhance the pain management skills of the patients."	"ed, ex, re, pm, ph, oth"	0	1	1	1	0	0	"in"	"Mixed"	"10-12"	"hospital"	NA	167	"lo"	"yes"
"Martin (2012): a"	NA	"ed, ex, (cognitive) behavioral therapy, re, pm, ph"	1	1	1	0	0	0	NA	"Group (>90%)"	"12"	"hospital"	6	21	"lo"	"no"
"McAllister (2005): a"	"Reduce opioid use, decrease pain; reduce healthcare utilization"	"ex, re, pm, oth"	1	0	1	0	1	0	"mix"	"Group (>90%)"	NA	NA	4	80	"lo"	"yes"
"Merrick (2009): a"	NA	"ed, ex, (cognitive) behavioral therapy, re, pm, ba"	1	1	1	1	0	1	"out"	"Mixed"	NA	"hospital"	5	66	"lo"	"no"
"Monticone (2013): a"	"CBT: the purpose was to modify fear of movement beliefs, catastrophizing thinking, and negative feelings, and ensuring gradual reactions to illness behaviors. Exercise: The patients underwent a multimodal motor program consisting of active and passive mobilizations of the spine, and exercises aimed at stretching and strengthening muscles, and improving postural control.
"	"ed, ex, (cognitive) behavioral therapy, pm"	1	1	1	0	0	0	"out"	"Individual (>90%)"	NA	"treatment/rehabilitation center"	5	15	"lo"	"yes"
"Monticone (2016): a"	"treatment aimed at managing the fear of movement would induce long-term improvements
in disability, kinesiophobia, catastrophizing, pain and QoL in subjects with CLBP.
"	"ed, ex, (cognitive) behavioral therapy, re, pm, oth"	1	1	1	0	0	0	"out"	"Group (>90%)"	"5"	"treatment/rehabilitation center"	5	15	"lo"	"yes"
"Olason (2004): a"	"One of the main emphases of the program was to gradually withdraw all pain relieving drugs. The focus was on increasing the patients’ physical functioning level and enabling them to return to work."	"ed, ex, (cognitive) behavioral therapy, re, pm, ph, ba, te, oth"	1	1	1	1	1	1	"in"	"Mixed"	NA	"treatment/rehabilitation center"	7	NA	"med"	"no"
"Oslund (2009): a"	"The goals of interdisciplinary care include providing skills in decreasing muscle tension and sympathetic nervous system activation by addressing and reframing beliefs about pain and coping. The patients are guided in overcoming fear and avoidance of behavior associated with pain and in improving physical strengthening and conditioning"	"ed, ex, (cognitive) behavioral therapy, re, pm"	1	1	1	1	0	0	"out"	"Mixed"	NA	"university"	4	120	"lo"	"no"
"Persson (2012): a"	"increasing patients' strategies for pain management, activity level, and participation in society."	"ed, ex, (cognitive) behavioral therapy, re, pm, ba, wo, te, oth"	1	1	1	1	1	1	"out"	"Group (>90%)"	"9"	"hospital"	5	126	"lo"	"yes"
"Reck (2017): a"	"to restore subjective and objective physical and psychological functioning"	"ed, ex, (cognitive) behavioral therapy, re, pm, wo"	1	1	1	1	0	0	"out"	"Group (>90%)"	NA	"pain clinic"	1	45	"lo"	"no"
"Richardson (1994): a"	"achieving manageable activity levels on tasks of the patient’s own choosing, and of reducing medication intake and pain behaviours."	"ed, ex, ga, (cognitive) behavioral therapy, re, pm, oth"	0	1	1	1	1	0	"mix"	"Group (>90%)"	"5"	"hospital"	NA	120	"lo"	"no"
"Roche (2011): a"	"the reduction in sick-leave duration achieved by a multidisciplinary program (FRP), based on the bio-psychosocial model, with what could be considered as evidence-based physical treatment in a primary-care environment"	"ex, re, wo, te, oth"	1	1	0	1	0	0	"out"	"Group (>90%)"	"6-8"	"treatment/rehabilitation center"	5	150	"lo"	"no"
"Semrau (2014): a"	"The overall objective of PASTOR was the development of active self-management of CLBP through biopsychosocial patient education about low back pain, the introduction of physical activity with an emphasis on promoting positive experiences with exercises and the long-term maintenance of physical activity as well as to promote coping strategies when dealing with CLBP. 
"	"ed, ex, re, pm"	1	1	1	0	0	1	"in"	"Mixed"	NA	"treatment/rehabilitation center"	3	48	"lo"	"no"
"Silvemark (2014): a"	"from introduction: Programmes usually have a cognitive behavioural therapy approach, including measures to improve pain behaviour, cognitive restructuring, sleep strategies, stress management, psychosocial training, lifestyle adaptations to pain, pacing, and also physical exercise, ergonomics, body posture and co-ordination, relaxation techniques,
Electromyography (EMG)-biofeedback, and strategies to maintain improvements.
"	"ed, ex, (cognitive) behavioral therapy, re, pm, ba"	1	1	1	1	1	1	"out"	"Group (>90%)"	"6-9"	"hospital"	5	175	"lo"	"no"
"Smeets (2008): a"	"to help patients to identify and cope with the consequences of pain in everyday life than with pain itself."	"ed, ga, (cognitive) behavioral therapy, oth"	1	1	1	1	0	1	"out"	"Group (>90%)"	"max 4"	"treatment/rehabilitation center"	10	23	"lo"	"no"
"Smeets (2008): b"	"CT aimed at restoring functional ability through increased fitness, the reinforcement of healthy behaviors and the modification of problem solving abilities."	"ed, ex, ga, (cognitive) behavioral therapy, oth"	1	1	1	1	0	1	"out"	"Group (>90%)"	"max 4"	"treatment/rehabilitation center"	10	77	"lo"	"no"
"Spinhoven (2004): a"	"Operant-behavioral treatment aimed at increasing healthy behaviors and decreasing pain behaviors.
"	"ed, ga, (cognitive) behavioral therapy, pm, oth"	0	1	1	1	0	0	"mix"	"Mixed"	NA	"treatment/rehabilitation center"	8	150	"lo"	"no"
"Stein (2013): a"	"The aim of treatment was not to reduce pain but to focus on patients’ quality of life, reduce their drug consumption and maintain or restore their capacity to work"	"ed, ex, (cognitive) behavioral therapy, re, pm, ba, te"	1	1	1	1	0	0	"out"	"Group (>90%)"	"6-8"	"primary care unit"	6	90	"lo"	"no"
"Tavafian (2011): a"	"To improve HRQoL and reduce disability of Iranian patients with CLBP up to 12 months.
"	"ed, ex, (cognitive) behavioral therapy, re, pm, ph, oth"	0	1	1	0	0	0	"out"	"Group (>90%)"	NA	"university"	1	9	"lo"	"yes"
"Thieme (2003): a"	NA	"ed, ex, (cognitive) behavioral therapy, pm"	1	1	1	0	1	0	"in"	"Group (>90%)"	"5-7"	"hospital"	5	75	"lo"	"no"
"Van der Maas (2015): a"	"Overall: improve HRQOL, decrease disability and depression. PMT specific: By improving BA, patients learn to recognize body signals other than pain to determine physical and mental states. This will lead to better understanding of bodily information, increasing confidence in body and oneself. increases HRQOL via decreased  catastrophizing and increased self-efficacy."	"ed, ex, ga, (cognitive) behavioral therapy, re, oth"	1	1	1	1	0	0	"out"	"Group (>90%)"	"4-6"	"treatment/rehabilitation center"	12	94	"lo"	"yes"
"Van der Maas (2015): b"	NA	"ed, ex, ga, (cognitive) behavioral therapy, re, ba, oth"	1	1	1	1	0	0	"out"	"Group (>90%)"	"4-6"	"treatment/rehabilitation center"	12	109	"lo"	"yes"
"van Eijk-Hustings (2013): a"	"to optimise daily functioning through coping with pain and disability. treatment was built around four themes: communication (discover suppressed feelings and emotions); take care of yourself (discover limitations and learn to draw a line); stress, strength, anger and conflict (discover qualities); balance (a new start)."	"ed, ex, ga, (cognitive) behavioral therapy, ba, oth"	0	0	0	0	0	0	"out"	"Group (>90%)"	NA	"treatment/rehabilitation center"	12	126	"med"	"yes"
"van Hooff (2010): a"	"Increase the ability for self-management and self-efficacy to address the psychological impact of pain."	"ed, ex, (cognitive) behavioral therapy, re, pm"	0	1	1	1	0	0	"in"	"Group (>90%)"	NA	"Hotel facility, organized by Sint Maartens kliniek Nijmegen"	2	100	"lo"	"no"
"van Wilgen (2009): a"	NA	"ed, ex, ga, (cognitive) behavioral therapy, re, pm, oth"	1	1	1	0	0	0	"mix"	"Mixed"	NA	"hospital"	7	NA	"hi"	"no"
"Vendrig (2000): a"	"Return to work"	"ed, ex, ga, ph, wo"	0	1	1	0	0	0	"out"	"Group (>90%)"	NA	"treatment/rehabilitation center"	4	NA	"lo"	"no"
"Verkerk (2011): a"	"from a biopsychosocial perspective, application of behavioural principles to adopt adequate normal behavioural movement aimed at physical recovery."	"ed, ex, re, pm, ba"	1	1	1	0	0	0	"out"	"Group (>90%)"	"6"	"treatment/rehabilitation center"	9	48	"lo"	"yes"
"Volker (2017): a"	"To optimize patients’ functioning of activities and participation by supporting them in managing their pain."	"ed, ex, (cognitive) behavioral therapy, re"	1	1	1	1	0	1	"out"	"Mixed"	NA	"treatment/rehabilitation center"	15	NA	"lo"	"no"
"Wagner (2011): a"	"teaching skills that enhance self-management of pain and improved functioning."	"ed, ex, (cognitive) behavioral therapy, re, pm"	1	1	1	1	1	0	"out"	"Mixed"	NA	"pain clinic"	6	122	"hi"	"no"
"Westman (2009): a"	"to help patients discover possibilities rather then obstacles when returning to work."	"ed, ex, (cognitive) behavioral therapy, re, ba, oth"	1	1	1	0	0	0	"out"	"Group (>90%)"	"8-10"	"primary care setting"	8	140	"lo"	"yes"
"Bergstrom (2001): a"	"to improve functioning both at work and during their leisure time."	"ed, ex, re, ba, oth"	0	0	1	0	0	0	"in"	"Group (>90%)"	"14"	"treatment/rehabilitation center"	4	160	"med"	"no"
